Time,AccelerometerX,AccelerometerY,AccelerometerZ 
1.613192,-0.235,-9.928,1.635
1.623137,-0.235,-9.987,1.744
1.633082,-0.235,-9.93,1.874
1.643027,-0.196,-9.934,1.674
1.652972,-0.235,-9.839,1.81
1.662917,-0.235,-9.819,1.694
1.672862,-0.196,-9.839,1.81
1.682807,-0.235,-9.741,1.708
1.692752,-0.235,-9.8,1.817
1.702697,-0.275,-9.821,1.933
1.712642,-0.314,-9.832,1.772
1.722599,-0.392,-9.814,1.894
1.732556,-0.471,-9.846,1.849
1.742513,-0.588,-9.846,1.849
1.75247,-0.667,-9.898,1.919
1.762427,-0.745,-9.975,1.906
1.772384,-0.824,-9.975,1.906
1.782341,-0.941,-9.937,1.912
1.792298,-0.981,-9.916,1.797
1.802255,-0.981,-9.909,1.758
1.812212,-0.981,-9.832,1.772
1.822169,-0.981,-9.819,1.694
1.832126,-0.981,-9.787,1.74
1.842083,-0.981,-9.741,1.708
1.852033,-0.941,-9.691,1.876
1.861983,-0.863,-9.639,1.806
1.871933,-0.863,-9.607,1.851
1.881883,-0.902,-9.6,1.812
1.891833,-1.02,-9.621,1.928
1.901783,-1.059,-9.666,1.96
1.911733,-1.098,-9.744,1.946
1.921683,-1.098,-9.814,1.894
1.931633,-0.981,-9.891,1.881
1.941583,-0.902,-9.93,1.874
1.951533,-0.824,-9.916,1.797
1.961483,-0.667,-9.891,1.881
1.971433,-0.549,-9.853,1.887
1.981384,-0.392,-9.841,2.049
1.991335,-0.235,-9.723,1.831
2.001286,-0.078,-9.646,1.844
2.011237,0.0,-9.589,1.974
2.021188,0.118,-9.537,1.903
2.031139,0.157,-9.505,1.949
2.04109,0.157,-9.571,2.096
2.051041,0.078,-9.603,2.051
2.060992,0.078,-9.673,1.999
2.070943,0.118,-9.712,1.992
2.080894,0.157,-9.73,1.869
2.090845,0.196,-9.828,1.971
2.100796,0.275,-9.828,1.971
2.110785,0.431,-9.782,1.94
2.120774,0.549,-9.887,2.081
2.130763,0.667,-9.834,2.01
2.140752,0.824,-9.88,2.042
2.150741,0.981,-9.828,1.971
2.16073,1.098,-9.873,2.003
2.170719,1.255,-9.834,2.01
2.180708,1.294,-9.841,2.049
2.190697,1.412,-9.816,2.133
2.200686,1.53,-9.782,1.94
2.210675,1.687,-9.782,1.94
2.220664,1.765,-9.841,2.049
2.230653,1.844,-9.789,1.978
2.240661,1.961,-9.75,1.985
2.250669,2.04,-9.693,2.115
2.260677,2.04,-9.623,2.167
2.270685,2.079,-9.598,2.251
2.280693,2.079,-9.623,2.167
2.290701,2.197,-9.637,2.244
2.300709,2.275,-9.675,2.237
2.310717,2.354,-9.682,2.276
2.320725,2.432,-9.759,2.262
2.330733,2.55,-9.875,2.242
2.340741,2.628,-9.959,2.267
2.350749,2.746,-9.998,2.26
2.360757,2.785,-9.978,2.144
2.370774,2.864,-9.943,1.951
2.380791,2.981,-9.871,1.765
2.390808,2.942,-9.912,1.996
2.400825,2.942,-9.925,2.074
2.410842,2.903,-9.95,1.99
2.420859,2.864,-9.937,1.912
2.430876,2.864,-9.948,1.751
2.440893,2.785,-9.903,1.719
2.45091,2.707,-9.78,1.701
2.460927,2.667,-9.696,1.676
2.470944,2.628,-9.559,1.581
2.480961,2.667,-9.475,1.556
2.490978,2.707,-9.45,1.64
2.500968,2.746,-9.45,1.64
2.510958,2.785,-9.496,1.671
2.520948,2.785,-9.45,1.64
2.530938,2.746,-9.437,1.562
2.540928,2.667,-9.405,1.608
2.550918,2.628,-9.423,1.485
2.560908,2.589,-9.469,1.517
2.570898,2.511,-9.475,1.556
2.580888,2.393,-9.507,1.51
2.590878,2.236,-9.521,1.587
2.600868,2.079,-9.605,1.612
2.610858,2.001,-9.703,1.715
2.620848,1.883,-9.78,1.701
2.630838,1.804,-9.928,1.635
2.640828,1.765,-10.089,1.647
2.650782,1.765,-10.212,1.665
2.660736,1.648,-10.348,1.76
2.67069,1.687,-10.371,1.438
2.680644,1.687,-10.443,1.624
2.690598,1.687,-10.514,1.572
2.700552,1.726,-10.584,1.519
2.710506,1.804,-10.7,1.499
2.72046,1.844,-10.784,1.524
2.730414,1.844,-10.732,1.454
2.740368,1.883,-10.609,1.435
2.750322,1.844,-10.409,1.431
2.760276,1.883,-10.312,1.328
2.770208,1.883,-10.234,1.342
2.78014,1.804,-10.105,1.285
2.790072,1.765,-10.039,1.138
2.800004,1.687,-9.994,1.106
2.809936,1.608,-9.896,1.003
2.819868,1.53,-9.816,0.779
2.8298,1.491,-9.673,0.644
2.839732,1.412,-9.551,0.626
2.849664,1.373,-9.551,0.626
2.859596,1.334,-9.53,0.51
2.869528,1.373,-9.555,0.426
