Time,GyroscopeX,GyroscopeY,GyroscopeZ 
-0.042411,15.54,-1.901,7.555
-0.031804,14.7,-1.357,7.295
-0.021197,13.93,-1.325,7.514
-0.01059,13.16,-1.438,8.56
1.7E-5,12.11,-1.621,9.594
0.010624,11.13,-2.298,10.612
0.021231,9.87,-3.044,11.618
0.031838,8.47,-3.83,12.048
0.042445,7.14,-4.313,11.963
0.053052,6.02,-5.035,11.622
0.063659,4.55,-5.079,10.264
0.074266,3.22,-4.95,8.723
0.084873,2.17,-3.827,6.789
0.09548,1.19,-3.604,5.122
0.106087,0.77,-3.588,4.627
0.116694,0.42,-3.284,4.112
0.127301,0.21,-3.649,3.764
0.137908,0.28,-3.795,3.382
0.148528,0.42,-4.16,3.034
0.159148,0.0,-4.456,2.697
0.169768,-0.35,-4.339,2.434
0.180388,-0.56,-3.994,2.494
0.191008,-0.7,-3.597,1.854
0.201628,-0.77,-3.26,1.558
0.212248,-0.56,-2.664,1.805
0.222868,-0.84,-2.396,1.497
0.233488,-0.77,-1.638,1.63
0.244108,-0.49,-1.638,1.63
0.254728,-0.35,-1.285,2.048
0.265341,-0.7,-1.589,2.563
0.275954,-0.98,-1.488,2.794
0.286567,-0.91,-1.289,2.474
0.29718,-1.19,-1.241,2.198
0.307793,-0.98,-1.228,2.129
0.318406,-1.12,-1.439,2.518
0.329019,-0.56,-2.1,3.042
0.339632,-0.21,-2.668,3.439
0.350245,0.0,-2.862,3.334
0.360858,0.63,-2.575,2.105
0.371471,1.4,-2.409,0.357
0.382084,1.19,-2.543,-1.301
0.392697,0.98,-1.991,-2.412
0.403302,0.84,-2.474,-2.498
0.413907,0.91,-3.285,-1.93
0.424512,0.84,-4.035,-1.707
0.435117,0.98,-4.692,-1.609
0.445722,1.68,-5.093,-1.751
0.456327,2.38,-4.603,-2.518
0.466932,2.8,-4.25,-3.308
0.477537,3.85,-3.739,-3.787
0.488142,4.69,-2.977,-4.079
0.498747,5.11,-1.619,-4.124
0.509352,5.81,-0.982,-4.509
0.519957,5.67,-0.057,-4.915
0.530536,5.53,1.256,-5.109
0.541115,5.74,2.469,-5.535
0.551694,5.39,3.215,-5.333
0.562273,4.97,4.435,-5.402
0.572852,4.27,4.91,-5.674
0.583431,3.08,5.299,-5.463
0.59401,1.89,5.895,-5.216
0.604589,0.91,6.09,-3.902
0.615168,0.35,5.466,-2.377
0.625747,0.07,4.598,-0.682
0.636326,-0.21,3.828,0.462
0.646905,-0.98,2.899,1.293
0.657484,-0.91,1.732,1.869
0.668027,-0.84,0.876,2.287
0.67857,-0.42,0.227,2.741
0.689113,-0.28,-0.932,2.466
0.699656,0.21,-1.451,2.587
0.710199,0.56,-2.035,2.271
0.720742,0.63,-2.408,1.566
0.731285,0.77,-2.786,1.286
0.741828,1.61,-2.275,0.807
0.752371,2.17,-1.715,0.053
0.762914,2.8,-1.504,-0.336
0.773457,3.43,-0.819,-0.997
0.784,3.85,-0.393,-0.993
0.794543,3.29,-0.519,-1.087
0.805086,2.66,-0.515,-0.304
0.815598,1.47,-0.608,1.03
0.82611,0.21,-0.819,2.628
0.836622,-0.56,-1.686,4.323
0.847134,-1.75,-2.578,6.156
0.857646,-2.17,-3.608,7.965
0.868158,-2.38,-4.625,9.704
0.87867,-2.1,-5.258,10.872
0.889182,-1.96,-5.988,11.383
0.899694,-1.54,-6.835,12.158
0.910206,-0.7,-7.541,12.531
0.920718,-0.14,-8.291,12.754
0.93123,0.91,-8.672,12.9
0.941684,1.89,-9.223,12.803
0.952138,2.66,-9.471,12.191
0.962592,3.22,-9.576,11.177
0.973046,3.57,-9.479,9.417
0.9835,3.92,-8.579,7.941
0.993954,3.92,-7.598,6.408
1.004408,3.29,-6.836,4.907
1.014862,2.59,-6.037,3.2
1.025316,1.54,-4.643,1.74
1.03577,0.42,-4.245,1.099
1.046224,-0.98,-3.872,1.805
1.056678,-2.03,-3.872,3.013
1.067132,-2.8,-4.156,3.816
1.077551,-3.08,-3.973,3.991
1.08797,-2.24,-3.884,4.291
1.098389,-1.33,-2.939,4.173
1.108808,-0.28,-2.623,3.589
1.119227,0.63,-2.222,3.731
1.129646,1.68,-1.463,3.865
1.140065,2.38,-0.855,4.043
1.150484,2.8,-1.021,4.582
1.160903,2.45,-1.358,4.878
1.171322,2.1,-0.636,5.219
1.181741,1.54,-0.579,5.3
1.19216,1.33,-0.255,5.073
1.202579,0.14,0.151,4.789
1.212986,-0.98,0.548,4.148
1.223393,-2.1,0.957,3.438
1.2338,-3.36,0.71,2.826
1.244207,-4.13,0.146,2.798
1.254614,-4.69,-0.178,3.025
1.265021,-5.18,-0.742,2.997
1.275428,-5.46,-1.131,2.786
1.285835,-5.39,-1.638,1.63
1.296242,-5.18,-1.472,1.091
1.306649,-4.69,-1.338,0.333
1.317056,-4.41,-1.403,-0.105
1.327463,-3.92,-1.277,-0.012
1.337839,-3.5,-0.937,0.475
1.348215,-2.66,-1.168,0.576
1.358591,-2.8,-1.444,0.527
1.368967,-3.01,-1.375,0.54
1.379343,-2.59,-1.123,0.726
1.389719,-2.31,-1.054,0.738
1.400095,-1.89,-0.872,0.912
1.410471,-0.91,-0.559,0.754
1.420847,-0.28,-0.223,0.458
1.431223,0.28,0.02,0.288
1.441599,1.12,0.365,0.349
1.451975,1.33,0.389,0.211
1.462351,1.61,0.134,0.45
1.472727,1.61,0.26,0.543
1.483103,1.61,0.608,0.178
1.493479,1.82,0.612,-0.247
1.503855,2.24,0.86,-0.844
1.514231,2.59,1.001,-1.245
1.524607,3.01,1.115,-1.083
1.534983,3.5,0.782,-1.213
1.545359,3.78,0.588,-1.318
1.555735,3.71,0.766,-0.718
1.566111,3.43,1.05,-0.312
1.576487,3.01,1.565,-0.008
1.586863,2.8,1.44,-0.102
1.597231,2.45,1.257,-0.276
1.607599,2.31,2.165,-0.187
1.617967,2.1,2.161,0.239
1.628335,1.75,2.721,0.693
1.638703,1.26,3.191,0.847
1.649071,1.19,3.504,0.689
1.659439,1.26,3.666,0.575
1.669807,1.4,4.375,0.985
1.680175,1.75,4.854,1.496
