Consec,StartHz,Start,EndHz,End,Classification,Task,Command
1,75,1.5,106,2.12,BaselineDriving,Introduction to programming,
2,122,2.44,150.5,3.01,InstructorSpeaking,Introduction to programming,
3,155,3.1,157.5,3.15,UserSpeaking,Introduction to programming,"""Hey Google, open Voice Calendar"""
4,157.5,3.15,158.5,3.17,BaselineDriving,Introduction to programming,
5,158.5,3.17,162,3.24,GoogleHomeSpeaking,Introduction to programming,-Google home activated
6,162,3.24,163,3.26,UserSpeaking,Introduction to programming,
7,163,3.26,164.5,3.29,GoogleHomeSpeaking,Introduction to programming,"""Create new event"""
8,164.5,3.29,320,3.34,UserSpeaking,Introduction to programming,"""Hey Google"""
9,167,3.34,335,3.37,GoogleHomeSpeaking,Introduction to programming,-Google home activated
10,168.5,3.37,345,3.39,UserSpeaking,Introduction to programming,"""When are the next US elections?"""
11,169.5,3.39,370,3.44,UserSpeaking,Introduction to programming,
12,172,3.44,390,3.48,GoogleHomeSpeaking,Introduction to programming,
13,174,3.48,400,3.5,UserSpeaking,Introduction to programming,
14,175,3.5,405,3.51,BaselineDriving,Introduction to programming,
15,175.5,3.51,415,3.53,GoogleHomeSpeaking,Introduction to programming,
16,176.5,3.53,425,3.55,UserSpeaking,Introduction to programming,
17,177.5,3.55,440,3.58,GoogleHomeSpeaking,Introduction to programming,
18,179,3.58,200,4,BaselineDriving,,
19,200,4,210,4.02,UserSpeaking,,
20,201,4.02,225,4.05,GoogleHomeSpeaking,,
21,202.5,4.05,235,4.07,UserSpeaking,,
