Consec,StartHz,Start,EndHz,End,Classification,Command
75.00,425.00,8.05,520.00,8.24,,CONFUSED
76.00,520.00,8.24,545.00,8.29,ActivatingGoogleHome,"""Hey Google, open voice calendar"""
77.00,555.00,8.31,585.00,8.37,GoogleHomeSpeaking,"-""Here's a test version of voice calendar, What would you like to do?"""
78.00,595.00,8.39,605.00,8.41,InteractingWithGoogleHome,"""Do I have any events on monday?"""
79.00,610.00,8.42,655.00,8.51,GoogleHomeSpeaking,"-""You have two events on monday July first. At 12 PM lunch with Jen, at 4 PM gym. What else would you like to do?"""
80.00,660.00,8.52,670.00,8.54,InteractingWithGoogleHome,"""Add a new event"""
81.00,675.00,8.55,680.00,8.56,GoogleHomeSpeaking,"-""What is the day of the event"""
82.00,685.00,8.57,685.00,8.57,InteractingWithGoogleHome,"""Monday"""
83.00,450.00,9.00,460.00,9.02,GoogleHomeSpeaking,"-""What is the time of the event"""
84.00,465.00,9.03,470.00,9.04,InteractingWithGoogleHome,"""6 PM"""
85.00,480.00,9.06,490.00,9.08,GoogleHomeSpeaking,"-""What is the name of the event"""
86.00,495.00,9.09,505.00,9.11,InteractingWithGoogleHome,"""Visit family"""
87.00,520.00,9.14,525.00,9.15,GoogleHomeSpeaking,"-""Would you like to set a reminder for this event"""
88.00,530.00,9.16,540.00,9.18,InteractingWithGoogleHome,"""Yes, 10 min before the event"""
89.00,545.00,9.19,555.00,9.21,GoogleHomeSpeaking,"-""Is this a repeating event?"""
90.00,560.00,9.22,560.00,9.22,InteractingWithGoogleHome,"""No"""
91.00,570.00,9.24,625.00,9.35,GoogleHomeSpeaking,"-""Event visit family would be set for July 1st 2019 at 6 PM, you would be reminded 10 minutes before the event. Do you want to save it?"
92.00,630.00,9.36,635.00,9.37,InteractingWithGoogleHome,"""Yes"""
93.00,640.00,9.38,650.00,9.40,GoogleHomeSpeaking,"-""How long is this event repeating?"""
94.00,655.00,9.41,655.00,9.41,,"""Cancel"""
95,660.00,9.42,310.00,11.52,WaitingForGoogleHome,...stand by...
