Time,AccelerometerX,AccelerometerY,AccelerometerZ 
-0.165274,-0.314,-10.014,2.576
-0.155309,-0.314,-9.937,2.59
-0.145344,-0.314,-9.873,2.68
-0.135379,-0.235,-9.746,2.862
-0.125414,-0.196,-9.662,2.837
-0.115449,-0.118,-9.591,2.889
-0.105484,-0.039,-9.618,3.044
-0.095519,0.039,-9.664,3.076
-0.085554,0.118,-9.689,2.992
-0.075589,0.118,-9.755,3.139
-0.065624,0.157,-9.832,3.126
-0.055659,0.235,-9.871,3.119
-0.045694,0.314,-9.948,3.105
-0.035729,0.275,-10.13,3.233
-0.025779,0.275,-10.239,3.174
-0.015829,0.235,-10.252,3.251
-0.005879,0.196,-10.127,2.994
0.004071,0.118,-10.123,3.194
0.014021,0.039,-10.13,3.233
0.023971,0.039,-10.155,3.149
0.033921,-0.039,-10.232,3.135
0.043871,-0.078,-10.166,2.987
0.053821,-0.078,-10.191,2.903
0.063771,-0.118,-10.132,2.794
0.073721,-0.118,-10.164,2.749
0.083671,-0.118,-10.091,2.562
0.093621,-0.118,-9.987,2.421
0.103571,-0.157,-9.909,2.435
0.113518,-0.157,-9.741,2.385
0.123465,-0.196,-9.587,2.412
0.133412,-0.235,-9.505,2.626
0.143359,-0.275,-9.316,2.46
0.153306,-0.314,-9.316,2.46
0.163253,-0.314,-9.471,2.433
0.1732,-0.275,-9.714,2.231
0.183147,-0.157,-9.714,2.231
0.193094,-0.118,-9.893,2.119
0.203041,-0.078,-9.984,2.183
0.212988,-0.078,-9.978,2.144
0.222935,-0.078,-9.953,2.228
0.232882,-0.039,-9.83,2.21
0.242848,-0.039,-9.773,2.34
0.252814,-0.078,-9.637,2.244
0.26278,-0.078,-9.605,2.29
0.272746,-0.118,-9.598,2.251
0.282712,-0.078,-9.553,2.219
0.292678,-0.196,-9.528,2.303
0.302644,-0.235,-9.598,2.251
0.31261,-0.275,-9.657,2.36
0.322576,-0.275,-9.728,2.308
0.332542,-0.353,-9.818,2.371
0.342508,-0.353,-9.903,2.396
0.352474,-0.392,-10.005,2.299
0.36244,-0.431,-10.148,2.433
0.372406,-0.431,-10.218,2.381
0.382372,-0.471,-10.243,2.296
0.392338,-0.431,-10.264,2.412
0.402304,-0.431,-10.268,2.212
0.41227,-0.471,-10.412,2.347
0.422236,-0.392,-10.398,2.269
0.432202,-0.353,-10.5,2.172
0.442168,-0.314,-10.532,2.126
0.452134,-0.196,-10.582,1.958
0.4621,-0.235,-10.627,1.99
0.472066,-0.235,-10.607,1.874
0.482032,-0.235,-10.541,1.726
0.491998,-0.235,-10.475,1.578
0.501964,-0.235,-10.423,1.508
0.511931,-0.275,-10.332,1.444
0.521898,-0.314,-10.291,1.213
0.531865,-0.275,-10.269,0.858
0.541832,-0.314,-10.307,0.851
0.551799,-0.275,-10.216,0.788
0.561766,-0.314,-10.169,0.517
0.571733,-0.314,-10.071,0.415
0.5817,-0.353,-9.928,0.281
0.591667,-0.392,-9.746,0.154
0.601634,-0.431,-9.628,-0.065
0.611601,-0.471,-9.537,-0.128
0.621568,-0.51,-9.439,-0.23
0.631535,-0.549,-9.335,-0.371
0.641502,-0.549,-9.346,-0.533
0.651439,-0.588,-9.371,-0.617
0.661376,-0.588,-9.358,-0.694
0.671313,-0.549,-9.389,-0.739
0.68125,-0.588,-9.355,-0.933
0.691187,-0.628,-9.426,-0.985
0.701124,-0.628,-9.458,-1.03
0.711061,-0.667,-9.483,-1.114
0.720998,-0.706,-9.469,-1.192
0.730935,-0.706,-9.553,-1.167
0.740872,-0.706,-9.61,-1.296
0.750809,-0.706,-9.655,-1.264
0.760746,-0.745,-9.68,-1.348
0.770683,-0.745,-9.674,-1.387
0.780599,-0.745,-9.712,-1.394
0.790515,-0.785,-9.646,-1.542
0.800431,-0.785,-9.692,-1.51
0.810347,-0.785,-9.678,-1.587
0.820263,-0.745,-9.73,-1.517
0.830179,-0.785,-9.671,-1.626
0.840095,-0.785,-9.619,-1.696
0.850011,-0.785,-9.619,-1.696
0.859927,-0.785,-9.651,-1.742
0.869843,-0.785,-9.644,-1.78
0.879759,-0.745,-9.683,-1.787
0.889675,-0.824,-9.676,-1.826
0.899591,-0.785,-9.76,-1.801
0.909502,-0.745,-9.778,-1.923
0.919413,-0.785,-9.803,-2.007
0.929324,-0.745,-9.817,-1.93
0.939235,-0.745,-9.726,-1.994
0.949146,-0.667,-9.694,-1.948
0.959057,-0.667,-9.662,-1.903
0.968968,-0.628,-9.655,-1.942
0.978879,-0.628,-9.683,-1.787
0.98879,-0.628,-9.624,-1.896
0.998701,-0.667,-9.617,-1.935
1.008612,-0.588,-9.687,-1.987
1.018523,-0.549,-9.739,-1.916
1.028434,-0.549,-9.81,-1.969
1.03834,-0.51,-9.79,-2.085
1.048246,-0.549,-9.817,-1.93
1.058152,-0.549,-9.835,-2.053
1.068058,-0.51,-9.824,-1.891
1.077964,-0.51,-9.817,-1.93
1.08787,-0.588,-9.842,-2.014
1.097776,-0.588,-9.758,-2.039
1.107682,-0.549,-9.758,-2.039
1.117588,-0.51,-9.694,-1.948
1.127494,-0.51,-9.687,-1.987
1.1374,-0.51,-9.701,-1.91
1.147306,-0.51,-9.687,-1.987
1.157212,-0.431,-9.726,-1.994
1.167118,-0.431,-9.803,-2.007
1.177028,-0.471,-9.849,-1.976
1.186938,-0.471,-9.855,-1.937
1.196848,-0.51,-9.817,-1.93
1.206758,-0.549,-9.844,-1.776
1.216668,-0.588,-9.844,-1.776
1.226578,-0.628,-9.837,-1.814
1.236488,-0.628,-9.824,-1.891
1.246398,-0.628,-9.851,-1.737
1.256308,-0.588,-9.871,-1.621
1.266218,-0.628,-9.864,-1.66
1.276128,-0.628,-9.774,-1.723
1.286038,-0.667,-9.833,-1.614
1.295948,-0.628,-9.955,-1.596
1.305873,-0.667,-9.955,-1.596
1.315798,-0.706,-9.928,-1.751
1.325723,-0.667,-10.033,-1.61
1.335648,-0.628,-10.078,-1.578
1.345573,-0.588,-10.155,-1.591
1.355498,-0.588,-10.148,-1.63
1.365423,-0.588,-10.148,-1.63
1.375348,-0.588,-10.128,-1.746
1.385273,-0.549,-10.121,-1.785
